OBJECTID,DescSeg,TipoPNV,CODIGO
4888,,Leito Natural,210EGO0370
4889,ENTR. GO-040(B) - ENTR. GO-469,Pavimentada,219EGO0130
4890,ENTR. GO-222 (ARACU) - ENTR. GO-559 (P/ORDALIA),Leito Natural,154EGO0070
4891,EGERINEU TEIXEIRA - ENTR. GO-139 (S?O MIGUEL PASSA QUATRO),Leito Natural,219EGO0040
4892,ENTR. GO-330/486 (ORIZONA) - EGERINEU TEIXEIRA,Pavimentada,219EGO0030
4893,ENTR. GO-154 - ENTR. GO-156(A),Leito Natural,239EGO0140
4894,ENTR BR-153/GO-020(A) (GOIÂNIA) - AUTÓDROMO INTERNACIONAL,Duplicada,352BGO0010
4895,TRES RANCHOS - ENTR GO-503 (OUVIDOR),Pavimentada,330EGO0030
4896,ENTR. GO-301 - DIV. GO/MG,Leito Natural,457EGO0010
4897,ENTR. BR-352/490(B)/GO-213(B)/330(IPAMERI) - ENTR. GO-020,Leito Natural,307EGO0090
4898,CIDADE OCIDENTAL - DIV. GO/DF,Leito Natural,521EGO0030
4899,,,GO5214899
4900,,,GO5574900
4901,ENTR. BR-153 - ENTR. GO-154(A)/459 (ITAPACI),Pavimentada,336EGO0010
4902,ENTR GO-338 (SAO LUIZ DO NORTE) - ENTR GO-336 (P/ITAPACI),Pavimentada,153BGO0450
4903,ENTR. BR-251/GO-230/338/438 (GOIANESIA) - ENTR. BR-080(A)/GO-324(A),Pavimentada,080EGO0250
4904,ENTR. BR-251/GO-080/230/438 (GOIANESIA) - JUSCELANDIA,Leito Natural,338EGO0100
4905,JUSCELANDIA - ENTR. GO-481,Leito Natural,338EGO0105
4906,ENTR GO-230(B) (P/URUANA) - ENTR GO-080(A) (P/GOIANÉSIA),Pavimentada,153BGO0490
4907,ENTR. BR-153 (B) - ENTR. BR-251/GO-230/338/438 (GOIANESIA),Pavimentada,080EGO0230
